Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status,Image Src,Image Position,Image Alt Text
"pro-kitchen-tool-22","Pro Kitchen Tool 22","Simple pro kitchen tool 22 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-022","200","shopify","25","deny","manual","64.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-pro-kitchen-tool-22-22/600/600","1","Pro Kitchen Tool 22 image"
"ultra-fitness-accessory-23","Ultra Fitness Accessory 23","Simple ultra fitness accessory 23 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-023","200","shopify","25","deny","manual","67.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-ultra-fitness-accessory-23-23/600/600","1","Ultra Fitness Accessory 23 image"
"smart-apparel-holder-24","Smart Apparel Holder 24","Simple smart apparel holder 24 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-024","200","shopify","25","deny","manual","69.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-smart-apparel-holder-24-24/600/600","1","Smart Apparel Holder 24 image"
"eco-beauty-bottle-25","Eco Beauty Bottle 25","Simple eco beauty bottle 25 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-025","200","shopify","25","deny","manual","72.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-eco-beauty-bottle-25-25/600/600","1","Eco Beauty Bottle 25 image"
"deluxe-outdoor-kit-26","Deluxe Outdoor Kit 26","Simple deluxe outdoor kit 26 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-026","200","shopify","25","deny","manual","74.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-deluxe-outdoor-kit-26-26/600/600","1","Deluxe Outdoor Kit 26 image"
"premium-office-tool-27","Premium Office Tool 27","Simple premium office tool 27 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-027","200","shopify","25","deny","manual","77.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-premium-office-tool-27-27/600/600","1","Premium Office Tool 27 image"
"classic-pet-accessory-28","Classic Pet Accessory 28","Simple classic pet accessory 28 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-028","200","shopify","25","deny","manual","79.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-classic-pet-accessory-28-28/600/600","1","Classic Pet Accessory 28 image"
"essential-baby-holder-29","Essential Baby Holder 29","Simple essential baby holder 29 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-029","200","shopify","25","deny","manual","82.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-essential-baby-holder-29-29/600/600","1","Essential Baby Holder 29 image"
"everyday-electronics-bottle-30","Everyday Electronics Bottle 30","Simple everyday electronics bottle 30 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-030","200","shopify","25","deny","manual","84.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-everyday-electronics-bottle-30-30/600/600","1","Everyday Electronics Bottle 30 image"
"compact-home-kit-31","Compact Home Kit 31","Simple compact home kit 31 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-031","200","shopify","25","deny","manual","87.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-compact-home-kit-31-31/600/600","1","Compact Home Kit 31 image"
"pro-kitchen-tool-32","Pro Kitchen Tool 32","Simple pro kitchen tool 32 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-032","200","shopify","25","deny","manual","89.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-pro-kitchen-tool-32-32/600/600","1","Pro Kitchen Tool 32 image"
"ultra-fitness-accessory-33","Ultra Fitness Accessory 33","Simple ultra fitness accessory 33 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-033","200","shopify","25","deny","manual","92.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-ultra-fitness-accessory-33-33/600/600","1","Ultra Fitness Accessory 33 image"
"smart-apparel-holder-34","Smart Apparel Holder 34","Simple smart apparel holder 34 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-034","200","shopify","25","deny","manual","94.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-smart-apparel-holder-34-34/600/600","1","Smart Apparel Holder 34 image"
"eco-beauty-bottle-35","Eco Beauty Bottle 35","Simple eco beauty bottle 35 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-035","200","shopify","25","deny","manual","97.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-eco-beauty-bottle-35-35/600/600","1","Eco Beauty Bottle 35 image"
"deluxe-outdoor-kit-36","Deluxe Outdoor Kit 36","Simple deluxe outdoor kit 36 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-036","200","shopify","25","deny","manual","99.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-deluxe-outdoor-kit-36-36/600/600","1","Deluxe Outdoor Kit 36 image"
"premium-office-tool-37","Premium Office Tool 37","Simple premium office tool 37 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-037","200","shopify","25","deny","manual","102.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-premium-office-tool-37-37/600/600","1","Premium Office Tool 37 image"
"classic-pet-accessory-38","Classic Pet Accessory 38","Simple classic pet accessory 38 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-038","200","shopify","25","deny","manual","104.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-classic-pet-accessory-38-38/600/600","1","Classic Pet Accessory 38 image"
"essential-baby-holder-39","Essential Baby Holder 39","Simple essential baby holder 39 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-039","200","shopify","25","deny","manual","107.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-essential-baby-holder-39-39/600/600","1","Essential Baby Holder 39 image"
"everyday-electronics-bottle-40","Everyday Electronics Bottle 40","Simple everyday electronics bottle 40 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-040","200","shopify","25","deny","manual","9.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-everyday-electronics-bottle-40-40/600/600","1","Everyday Electronics Bottle 40 image"
"compact-home-kit-41","Compact Home Kit 41","Simple compact home kit 41 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-041","200","shopify","25","deny","manual","12.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-compact-home-kit-41-41/600/600","1","Compact Home Kit 41 image"
"pro-kitchen-tool-42","Pro Kitchen Tool 42","Simple pro kitchen tool 42 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-042","200","shopify","25","deny","manual","14.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-pro-kitchen-tool-42-42/600/600","1","Pro Kitchen Tool 42 image"
"ultra-fitness-accessory-43","Ultra Fitness Accessory 43","Simple ultra fitness accessory 43 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-043","200","shopify","25","deny","manual","17.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-ultra-fitness-accessory-43-43/600/600","1","Ultra Fitness Accessory 43 image"
"smart-apparel-holder-44","Smart Apparel Holder 44","Simple smart apparel holder 44 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-044","200","shopify","25","deny","manual","19.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-smart-apparel-holder-44-44/600/600","1","Smart Apparel Holder 44 image"
"eco-beauty-bottle-45","Eco Beauty Bottle 45","Simple eco beauty bottle 45 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-045","200","shopify","25","deny","manual","22.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-eco-beauty-bottle-45-45/600/600","1","Eco Beauty Bottle 45 image"
"deluxe-outdoor-kit-46","Deluxe Outdoor Kit 46","Simple deluxe outdoor kit 46 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-046","200","shopify","25","deny","manual","24.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-deluxe-outdoor-kit-46-46/600/600","1","Deluxe Outdoor Kit 46 image"
"premium-office-tool-47","Premium Office Tool 47","Simple premium office tool 47 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-047","200","shopify","25","deny","manual","27.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-premium-office-tool-47-47/600/600","1","Premium Office Tool 47 image"
"classic-pet-accessory-48","Classic Pet Accessory 48","Simple classic pet accessory 48 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-048","200","shopify","25","deny","manual","29.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-classic-pet-accessory-48-48/600/600","1","Classic Pet Accessory 48 image"
"essential-baby-holder-49","Essential Baby Holder 49","Simple essential baby holder 49 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-049","200","shopify","25","deny","manual","32.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-essential-baby-holder-49-49/600/600","1","Essential Baby Holder 49 image"
"everyday-electronics-bottle-50","Everyday Electronics Bottle 50","Simple everyday electronics bottle 50 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-050","200","shopify","25","deny","manual","34.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-everyday-electronics-bottle-50-50/600/600","1","Everyday Electronics Bottle 50 image"
"compact-home-kit-51","Compact Home Kit 51","Simple compact home kit 51 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-051","200","shopify","25","deny","manual","37.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-compact-home-kit-51-51/600/600","1","Compact Home Kit 51 image"
"pro-kitchen-tool-52","Pro Kitchen Tool 52","Simple pro kitchen tool 52 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-052","200","shopify","25","deny","manual","39.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-pro-kitchen-tool-52-52/600/600","1","Pro Kitchen Tool 52 image"
"ultra-fitness-accessory-53","Ultra Fitness Accessory 53","Simple ultra fitness accessory 53 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-053","200","shopify","25","deny","manual","42.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-ultra-fitness-accessory-53-53/600/600","1","Ultra Fitness Accessory 53 image"
"smart-apparel-holder-54","Smart Apparel Holder 54","Simple smart apparel holder 54 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-054","200","shopify","25","deny","manual","44.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-smart-apparel-holder-54-54/600/600","1","Smart Apparel Holder 54 image"
"eco-beauty-bottle-55","Eco Beauty Bottle 55","Simple eco beauty bottle 55 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-055","200","shopify","25","deny","manual","47.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-eco-beauty-bottle-55-55/600/600","1","Eco Beauty Bottle 55 image"
"deluxe-outdoor-kit-56","Deluxe Outdoor Kit 56","Simple deluxe outdoor kit 56 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-056","200","shopify","25","deny","manual","49.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-deluxe-outdoor-kit-56-56/600/600","1","Deluxe Outdoor Kit 56 image"
"premium-office-tool-57","Premium Office Tool 57","Simple premium office tool 57 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-057","200","shopify","25","deny","manual","52.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-premium-office-tool-57-57/600/600","1","Premium Office Tool 57 image"
"classic-pet-accessory-58","Classic Pet Accessory 58","Simple classic pet accessory 58 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-058","200","shopify","25","deny","manual","54.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-classic-pet-accessory-58-58/600/600","1","Classic Pet Accessory 58 image"
"essential-baby-holder-59","Essential Baby Holder 59","Simple essential baby holder 59 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-059","200","shopify","25","deny","manual","57.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-essential-baby-holder-59-59/600/600","1","Essential Baby Holder 59 image"
"everyday-electronics-bottle-60","Everyday Electronics Bottle 60","Simple everyday electronics bottle 60 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-060","200","shopify","25","deny","manual","59.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-everyday-electronics-bottle-60-60/600/600","1","Everyday Electronics Bottle 60 image"
"compact-home-kit-61","Compact Home Kit 61","Simple compact home kit 61 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-061","200","shopify","25","deny","manual","62.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-compact-home-kit-61-61/600/600","1","Compact Home Kit 61 image"
"pro-kitchen-tool-62","Pro Kitchen Tool 62","Simple pro kitchen tool 62 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-062","200","shopify","25","deny","manual","64.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-pro-kitchen-tool-62-62/600/600","1","Pro Kitchen Tool 62 image"
"ultra-fitness-accessory-63","Ultra Fitness Accessory 63","Simple ultra fitness accessory 63 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-063","200","shopify","25","deny","manual","67.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-ultra-fitness-accessory-63-63/600/600","1","Ultra Fitness Accessory 63 image"
"smart-apparel-holder-64","Smart Apparel Holder 64","Simple smart apparel holder 64 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-064","200","shopify","25","deny","manual","69.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-smart-apparel-holder-64-64/600/600","1","Smart Apparel Holder 64 image"
"eco-beauty-bottle-65","Eco Beauty Bottle 65","Simple eco beauty bottle 65 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-065","200","shopify","25","deny","manual","72.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-eco-beauty-bottle-65-65/600/600","1","Eco Beauty Bottle 65 image"
"deluxe-outdoor-kit-66","Deluxe Outdoor Kit 66","Simple deluxe outdoor kit 66 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-066","200","shopify","25","deny","manual","74.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-deluxe-outdoor-kit-66-66/600/600","1","Deluxe Outdoor Kit 66 image"
"premium-office-tool-67","Premium Office Tool 67","Simple premium office tool 67 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-067","200","shopify","25","deny","manual","77.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-premium-office-tool-67-67/600/600","1","Premium Office Tool 67 image"
"classic-pet-accessory-68","Classic Pet Accessory 68","Simple classic pet accessory 68 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-068","200","shopify","25","deny","manual","79.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-classic-pet-accessory-68-68/600/600","1","Classic Pet Accessory 68 image"
"essential-baby-holder-69","Essential Baby Holder 69","Simple essential baby holder 69 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-069","200","shopify","25","deny","manual","82.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-essential-baby-holder-69-69/600/600","1","Essential Baby Holder 69 image"
"everyday-electronics-bottle-70","Everyday Electronics Bottle 70","Simple everyday electronics bottle 70 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-070","200","shopify","25","deny","manual","84.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-everyday-electronics-bottle-70-70/600/600","1","Everyday Electronics Bottle 70 image"
"compact-home-kit-71","Compact Home Kit 71","Simple compact home kit 71 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-071","200","shopify","25","deny","manual","87.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-compact-home-kit-71-71/600/600","1","Compact Home Kit 71 image"
"pro-kitchen-tool-72","Pro Kitchen Tool 72","Simple pro kitchen tool 72 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-072","200","shopify","25","deny","manual","89.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-pro-kitchen-tool-72-72/600/600","1","Pro Kitchen Tool 72 image"
"ultra-fitness-accessory-73","Ultra Fitness Accessory 73","Simple ultra fitness accessory 73 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-073","200","shopify","25","deny","manual","92.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-ultra-fitness-accessory-73-73/600/600","1","Ultra Fitness Accessory 73 image"
"smart-apparel-holder-74","Smart Apparel Holder 74","Simple smart apparel holder 74 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-074","200","shopify","25","deny","manual","94.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-smart-apparel-holder-74-74/600/600","1","Smart Apparel Holder 74 image"
"eco-beauty-bottle-75","Eco Beauty Bottle 75","Simple eco beauty bottle 75 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-075","200","shopify","25","deny","manual","97.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-eco-beauty-bottle-75-75/600/600","1","Eco Beauty Bottle 75 image"
"deluxe-outdoor-kit-76","Deluxe Outdoor Kit 76","Simple deluxe outdoor kit 76 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-076","200","shopify","25","deny","manual","99.99","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-deluxe-outdoor-kit-76-76/600/600","1","Deluxe Outdoor Kit 76 image"
"premium-office-tool-77","Premium Office Tool 77","Simple premium office tool 77 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-077","200","shopify","25","deny","manual","102.49","","TRUE","TRUE","FALSE","","","active","https://picsum.photos/seed/ai-suite-premium-office-tool-77-77/600/600","1","Premium Office Tool 77 image"
