Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
"smart-apparel-holder-34","Smart Apparel Holder 34","Simple smart apparel holder 34 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-034","200","shopify","25","deny","manual","94.99","","TRUE","TRUE","FALSE","","","active"
"eco-beauty-bottle-35","Eco Beauty Bottle 35","Simple eco beauty bottle 35 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-035","200","shopify","25","deny","manual","97.49","","TRUE","TRUE","FALSE","","","active"
"deluxe-outdoor-kit-36","Deluxe Outdoor Kit 36","Simple deluxe outdoor kit 36 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-036","200","shopify","25","deny","manual","99.99","","TRUE","TRUE","FALSE","","","active"
"premium-office-tool-37","Premium Office Tool 37","Simple premium office tool 37 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-037","200","shopify","25","deny","manual","102.49","","TRUE","TRUE","FALSE","","","active"
"classic-pet-accessory-38","Classic Pet Accessory 38","Simple classic pet accessory 38 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-038","200","shopify","25","deny","manual","104.99","","TRUE","TRUE","FALSE","","","active"
"essential-baby-holder-39","Essential Baby Holder 39","Simple essential baby holder 39 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-039","200","shopify","25","deny","manual","107.49","","TRUE","TRUE","FALSE","","","active"
"everyday-electronics-bottle-40","Everyday Electronics Bottle 40","Simple everyday electronics bottle 40 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-040","200","shopify","25","deny","manual","9.99","","TRUE","TRUE","FALSE","","","active"
"compact-home-kit-41","Compact Home Kit 41","Simple compact home kit 41 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-041","200","shopify","25","deny","manual","12.49","","TRUE","TRUE","FALSE","","","active"
"pro-kitchen-tool-42","Pro Kitchen Tool 42","Simple pro kitchen tool 42 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-042","200","shopify","25","deny","manual","14.99","","TRUE","TRUE","FALSE","","","active"
"ultra-fitness-accessory-43","Ultra Fitness Accessory 43","Simple ultra fitness accessory 43 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-043","200","shopify","25","deny","manual","17.49","","TRUE","TRUE","FALSE","","","active"
"smart-apparel-holder-44","Smart Apparel Holder 44","Simple smart apparel holder 44 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-044","200","shopify","25","deny","manual","19.99","","TRUE","TRUE","FALSE","","","active"
"eco-beauty-bottle-45","Eco Beauty Bottle 45","Simple eco beauty bottle 45 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-045","200","shopify","25","deny","manual","22.49","","TRUE","TRUE","FALSE","","","active"
"deluxe-outdoor-kit-46","Deluxe Outdoor Kit 46","Simple deluxe outdoor kit 46 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-046","200","shopify","25","deny","manual","24.99","","TRUE","TRUE","FALSE","","","active"
"premium-office-tool-47","Premium Office Tool 47","Simple premium office tool 47 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-047","200","shopify","25","deny","manual","27.49","","TRUE","TRUE","FALSE","","","active"
"classic-pet-accessory-48","Classic Pet Accessory 48","Simple classic pet accessory 48 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-048","200","shopify","25","deny","manual","29.99","","TRUE","TRUE","FALSE","","","active"
"essential-baby-holder-49","Essential Baby Holder 49","Simple essential baby holder 49 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-049","200","shopify","25","deny","manual","32.49","","TRUE","TRUE","FALSE","","","active"
"everyday-electronics-bottle-50","Everyday Electronics Bottle 50","Simple everyday electronics bottle 50 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-050","200","shopify","25","deny","manual","34.99","","TRUE","TRUE","FALSE","","","active"
"compact-home-kit-51","Compact Home Kit 51","Simple compact home kit 51 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-051","200","shopify","25","deny","manual","37.49","","TRUE","TRUE","FALSE","","","active"
"pro-kitchen-tool-52","Pro Kitchen Tool 52","Simple pro kitchen tool 52 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-052","200","shopify","25","deny","manual","39.99","","TRUE","TRUE","FALSE","","","active"
"ultra-fitness-accessory-53","Ultra Fitness Accessory 53","Simple ultra fitness accessory 53 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-053","200","shopify","25","deny","manual","42.49","","TRUE","TRUE","FALSE","","","active"
"smart-apparel-holder-54","Smart Apparel Holder 54","Simple smart apparel holder 54 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-054","200","shopify","25","deny","manual","44.99","","TRUE","TRUE","FALSE","","","active"
"eco-beauty-bottle-55","Eco Beauty Bottle 55","Simple eco beauty bottle 55 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-055","200","shopify","25","deny","manual","47.49","","TRUE","TRUE","FALSE","","","active"
"deluxe-outdoor-kit-56","Deluxe Outdoor Kit 56","Simple deluxe outdoor kit 56 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-056","200","shopify","25","deny","manual","49.99","","TRUE","TRUE","FALSE","","","active"
"premium-office-tool-57","Premium Office Tool 57","Simple premium office tool 57 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-057","200","shopify","25","deny","manual","52.49","","TRUE","TRUE","FALSE","","","active"
"classic-pet-accessory-58","Classic Pet Accessory 58","Simple classic pet accessory 58 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-058","200","shopify","25","deny","manual","54.99","","TRUE","TRUE","FALSE","","","active"
"essential-baby-holder-59","Essential Baby Holder 59","Simple essential baby holder 59 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-059","200","shopify","25","deny","manual","57.49","","TRUE","TRUE","FALSE","","","active"
"everyday-electronics-bottle-60","Everyday Electronics Bottle 60","Simple everyday electronics bottle 60 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-060","200","shopify","25","deny","manual","59.99","","TRUE","TRUE","FALSE","","","active"
"compact-home-kit-61","Compact Home Kit 61","Simple compact home kit 61 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-061","200","shopify","25","deny","manual","62.49","","TRUE","TRUE","FALSE","","","active"
"pro-kitchen-tool-62","Pro Kitchen Tool 62","Simple pro kitchen tool 62 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-062","200","shopify","25","deny","manual","64.99","","TRUE","TRUE","FALSE","","","active"
"ultra-fitness-accessory-63","Ultra Fitness Accessory 63","Simple ultra fitness accessory 63 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-063","200","shopify","25","deny","manual","67.49","","TRUE","TRUE","FALSE","","","active"
"smart-apparel-holder-64","Smart Apparel Holder 64","Simple smart apparel holder 64 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-064","200","shopify","25","deny","manual","69.99","","TRUE","TRUE","FALSE","","","active"
"eco-beauty-bottle-65","Eco Beauty Bottle 65","Simple eco beauty bottle 65 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-065","200","shopify","25","deny","manual","72.49","","TRUE","TRUE","FALSE","","","active"
"deluxe-outdoor-kit-66","Deluxe Outdoor Kit 66","Simple deluxe outdoor kit 66 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-066","200","shopify","25","deny","manual","74.99","","TRUE","TRUE","FALSE","","","active"
"premium-office-tool-67","Premium Office Tool 67","Simple premium office tool 67 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-067","200","shopify","25","deny","manual","77.49","","TRUE","TRUE","FALSE","","","active"
"classic-pet-accessory-68","Classic Pet Accessory 68","Simple classic pet accessory 68 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-068","200","shopify","25","deny","manual","79.99","","TRUE","TRUE","FALSE","","","active"
"essential-baby-holder-69","Essential Baby Holder 69","Simple essential baby holder 69 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-069","200","shopify","25","deny","manual","82.49","","TRUE","TRUE","FALSE","","","active"
"everyday-electronics-bottle-70","Everyday Electronics Bottle 70","Simple everyday electronics bottle 70 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-070","200","shopify","25","deny","manual","84.99","","TRUE","TRUE","FALSE","","","active"
"compact-home-kit-71","Compact Home Kit 71","Simple compact home kit 71 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-071","200","shopify","25","deny","manual","87.49","","TRUE","TRUE","FALSE","","","active"
"pro-kitchen-tool-72","Pro Kitchen Tool 72","Simple pro kitchen tool 72 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-072","200","shopify","25","deny","manual","89.99","","TRUE","TRUE","FALSE","","","active"
"ultra-fitness-accessory-73","Ultra Fitness Accessory 73","Simple ultra fitness accessory 73 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-073","200","shopify","25","deny","manual","92.49","","TRUE","TRUE","FALSE","","","active"
"smart-apparel-holder-74","Smart Apparel Holder 74","Simple smart apparel holder 74 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-074","200","shopify","25","deny","manual","94.99","","TRUE","TRUE","FALSE","","","active"
"eco-beauty-bottle-75","Eco Beauty Bottle 75","Simple eco beauty bottle 75 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-075","200","shopify","25","deny","manual","97.49","","TRUE","TRUE","FALSE","","","active"
"deluxe-outdoor-kit-76","Deluxe Outdoor Kit 76","Simple deluxe outdoor kit 76 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-076","200","shopify","25","deny","manual","99.99","","TRUE","TRUE","FALSE","","","active"
"premium-office-tool-77","Premium Office Tool 77","Simple premium office tool 77 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-077","200","shopify","25","deny","manual","102.49","","TRUE","TRUE","FALSE","","","active"
"classic-pet-accessory-78","Classic Pet Accessory 78","Simple classic pet accessory 78 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-078","200","shopify","25","deny","manual","104.99","","TRUE","TRUE","FALSE","","","active"
"essential-baby-holder-79","Essential Baby Holder 79","Simple essential baby holder 79 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-079","200","shopify","25","deny","manual","107.49","","TRUE","TRUE","FALSE","","","active"
"everyday-electronics-bottle-80","Everyday Electronics Bottle 80","Simple everyday electronics bottle 80 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-080","200","shopify","25","deny","manual","9.99","","TRUE","TRUE","FALSE","","","active"
"compact-home-kit-81","Compact Home Kit 81","Simple compact home kit 81 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-081","200","shopify","25","deny","manual","12.49","","TRUE","TRUE","FALSE","","","active"
"pro-kitchen-tool-82","Pro Kitchen Tool 82","Simple pro kitchen tool 82 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-082","200","shopify","25","deny","manual","14.99","","TRUE","TRUE","FALSE","","","active"
"ultra-fitness-accessory-83","Ultra Fitness Accessory 83","Simple ultra fitness accessory 83 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-083","200","shopify","25","deny","manual","17.49","","TRUE","TRUE","FALSE","","","active"
"smart-apparel-holder-84","Smart Apparel Holder 84","Simple smart apparel holder 84 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-084","200","shopify","25","deny","manual","19.99","","TRUE","TRUE","FALSE","","","active"
"eco-beauty-bottle-85","Eco Beauty Bottle 85","Simple eco beauty bottle 85 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-085","200","shopify","25","deny","manual","22.49","","TRUE","TRUE","FALSE","","","active"
"deluxe-outdoor-kit-86","Deluxe Outdoor Kit 86","Simple deluxe outdoor kit 86 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-086","200","shopify","25","deny","manual","24.99","","TRUE","TRUE","FALSE","","","active"
"premium-office-tool-87","Premium Office Tool 87","Simple premium office tool 87 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-087","200","shopify","25","deny","manual","27.49","","TRUE","TRUE","FALSE","","","active"
"classic-pet-accessory-88","Classic Pet Accessory 88","Simple classic pet accessory 88 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-088","200","shopify","25","deny","manual","29.99","","TRUE","TRUE","FALSE","","","active"
"essential-baby-holder-89","Essential Baby Holder 89","Simple essential baby holder 89 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-089","200","shopify","25","deny","manual","32.49","","TRUE","TRUE","FALSE","","","active"
"everyday-electronics-bottle-90","Everyday Electronics Bottle 90","Simple everyday electronics bottle 90 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-090","200","shopify","25","deny","manual","34.99","","TRUE","TRUE","FALSE","","","active"
"compact-home-kit-91","Compact Home Kit 91","Simple compact home kit 91 for daily use.","AI Commerce Test","Home","test-import,ai-suite","TRUE","Title","Default Title","TEST-091","200","shopify","25","deny","manual","37.49","","TRUE","TRUE","FALSE","","","active"
"pro-kitchen-tool-92","Pro Kitchen Tool 92","Simple pro kitchen tool 92 for daily use.","AI Commerce Test","Kitchen","test-import,ai-suite","TRUE","Title","Default Title","TEST-092","200","shopify","25","deny","manual","39.99","","TRUE","TRUE","FALSE","","","active"
"ultra-fitness-accessory-93","Ultra Fitness Accessory 93","Simple ultra fitness accessory 93 for daily use.","AI Commerce Test","Fitness","test-import,ai-suite","TRUE","Title","Default Title","TEST-093","200","shopify","25","deny","manual","42.49","","TRUE","TRUE","FALSE","","","active"
"smart-apparel-holder-94","Smart Apparel Holder 94","Simple smart apparel holder 94 for daily use.","AI Commerce Test","Apparel","test-import,ai-suite","TRUE","Title","Default Title","TEST-094","200","shopify","25","deny","manual","44.99","","TRUE","TRUE","FALSE","","","active"
"eco-beauty-bottle-95","Eco Beauty Bottle 95","Simple eco beauty bottle 95 for daily use.","AI Commerce Test","Beauty","test-import,ai-suite","TRUE","Title","Default Title","TEST-095","200","shopify","25","deny","manual","47.49","","TRUE","TRUE","FALSE","","","active"
"deluxe-outdoor-kit-96","Deluxe Outdoor Kit 96","Simple deluxe outdoor kit 96 for daily use.","AI Commerce Test","Outdoor","test-import,ai-suite","TRUE","Title","Default Title","TEST-096","200","shopify","25","deny","manual","49.99","","TRUE","TRUE","FALSE","","","active"
"premium-office-tool-97","Premium Office Tool 97","Simple premium office tool 97 for daily use.","AI Commerce Test","Office","test-import,ai-suite","TRUE","Title","Default Title","TEST-097","200","shopify","25","deny","manual","52.49","","TRUE","TRUE","FALSE","","","active"
"classic-pet-accessory-98","Classic Pet Accessory 98","Simple classic pet accessory 98 for daily use.","AI Commerce Test","Pet","test-import,ai-suite","TRUE","Title","Default Title","TEST-098","200","shopify","25","deny","manual","54.99","","TRUE","TRUE","FALSE","","","active"
"essential-baby-holder-99","Essential Baby Holder 99","Simple essential baby holder 99 for daily use.","AI Commerce Test","Baby","test-import,ai-suite","TRUE","Title","Default Title","TEST-099","200","shopify","25","deny","manual","57.49","","TRUE","TRUE","FALSE","","","active"
"everyday-electronics-bottle-100","Everyday Electronics Bottle 100","Simple everyday electronics bottle 100 for daily use.","AI Commerce Test","Electronics","test-import,ai-suite","TRUE","Title","Default Title","TEST-100","200","shopify","25","deny","manual","59.99","","TRUE","TRUE","FALSE","","","active"
